age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
22-24,Female,Tunisia,Masters,Student,,,,intermediate,,,
18-21,Male,India,Bachelors,Data Scientist,0-49 employees,I do not know,$0-999,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
30-34,Female,Russia,Masters,Student,,,,basic,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ",  Scikit-learn 
18-21,Female,India,Bachelors,Student,,,,basic,3-5 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
22-24,Male,United States of America,Masters,Data Analyst,0-49 employees,,,intermediate,,,
22-24,Female,Pakistan,Masters,Data Scientist,0-49 employees,,,intermediate,,,
30-34,Other,Sweden,Bachelors,Student,,,,advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ",
55-59,Male,Mexico,Doctoral,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",basic,< 1 years,,
22-24,Male,India,Masters,Student,,,,basic,1-2 years, Matplotlib ,
22-24,Female,Peru,Coursework,Student,,,,advance,< 1 years,,
18-21,Female,Canada,Masters,Student,,,,advance,3-5 years," Matplotlib , Plotly / Plotly Express ",
55-59,Male,Brazil,Doctoral,Business Analyst,"1000-9,999 employees",I do not know,"7,500-9,999",intermediate,,,
22-24,Female,India,Bachelors,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"4,000-4,999",intermediate,,,
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
45-49,Male,Spain,Doctoral,Research Scientist,250-999 employees,I do not know,"40,000-49,999",advance,20+ years," Matplotlib , Plotly / Plotly Express ","  Scikit-learn , RandomForest, Xgboost , PyTorch , LightGBM "
22-24,Male,Bangladesh,Bachelors,Student,,,,intermediate,,,
25-29,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",intermediate,,,
35-39,Female,Israel,Masters,Other,0-49 employees,No (we do not use ML methods),,intermediate,,,
40-44,Male,France,Masters,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Spark MLib "
22-24,Male,India,Bachelors,Data Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",intermediate,1-2 years, Matplotlib ,"  Scikit-learn , Keras , PyTorch "
30-34,Male,Japan,Coursework,Other,,,,intermediate,,,
25-29,Male,Pakistan,Masters,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",intermediate,,,
45-49,Male,Germany,Coursework,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",basic,10-20 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow "
25-29,Male,Switzerland,Masters,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",intermediate,,,
70+,Male,Other,Masters,Business Analyst,"> 10,000 employees",,,intermediate,,,
18-21,Male,India,Bachelors,Student,,,,advance,3-5 years, Seaborn ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
40-44,Male,Other,Doctoral,Product/Project Manager,50-249 employees,No (we do not use ML methods),"100,000-124,999",intermediate,,,
35-39,Male,Peru,Bachelors,Student,,,,intermediate,,,
30-34,Male,Canada,Bachelors,Other,50-249 employees,I do not know,"40,000-49,999",basic,I have never written code,,
25-29,Male,India,Bachelors,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",intermediate,,,
30-34,Female,Colombia,Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,,,
40-44,Male,Poland,Masters,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"30,000-39,999",advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
30-34,Male,Morocco,Masters,Student,,,,intermediate,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
22-24,Male,Denmark,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Bokeh ", PyTorch 
25-29,Male,Canada,Doctoral,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , D3.js , Plotly / Plotly Express , Seaborn , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , Caret , LightGBM "
55-59,Male,United States of America,Bachelors,Data Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,5-10 years, Matplotlib , PyTorch 
30-34,Male,Mexico,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"15,000-19,999",basic,< 1 years, Matplotlib ,  TensorFlow 
22-24,Male,Turkey,Bachelors,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , LightGBM "
25-29,Male,Russia,Bachelors,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
35-39,Male,France,Bachelors,Other,"1000-9,999 employees",No (we do not use ML methods),,intermediate,,,
25-29,Male,Singapore,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, LightGBM "
30-34,Male,Russia,Masters,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, LightGBM "
25-29,Male,India,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
45-49,Male,Turkey,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
22-24,Male,India,Masters,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
22-24,Other,United States of America,Masters,Student,,,,intermediate,1-2 years," Shiny , Plotly / Plotly Express , Leaflet / Folium ","  Scikit-learn , RandomForest, Caret "
22-24,Male,India,Masters,Student,,,,advance,I have never written code,,
18-21,Male,India,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  TensorFlow , Keras , PyTorch "
25-29,Male,Morocco,Coursework,Other,,,,intermediate,,,
22-24,Male,Canada,Bachelors,Student,,,,basic,I have never written code,,
55-59,Male,Netherlands,Bachelors,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years, Ggplot / ggplot2 ,
60-69,Male,Ukraine,Coursework,DBA/Database Engineer,0-49 employees,No (we do not use ML methods),$0-999,basic,5-10 years, Matplotlib , PyTorch 
25-29,Other,India,Bachelors,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",advance,10-20 years," Matplotlib , Plotly / Plotly Express , Seaborn "," Keras , PyTorch "
40-44,Male,United States of America,Masters,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years," Ggplot / ggplot2 , D3.js , Plotly / Plotly Express ","  Scikit-learn , PyTorch , Spark MLib "
18-21,Male,United States of America,Masters,Student,,,,intermediate,,,
55-59,Other,Other,Doctoral,Product/Project Manager,0-49 employees,No (we do not use ML methods),"125,000-149,999",advance,5-10 years, Ggplot / ggplot2 ,
25-29,Male,Turkey,Bachelors,Student,,,,intermediate,,,
25-29,Female,Sweden,Masters,Student,,,,advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , PyTorch "
70+,Other,Other,Coursework,Other,0-49 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,< 1 years,,
22-24,Male,Greece,Bachelors,Student,,,,basic,3-5 years, Matplotlib ,
25-29,Male,Russia,Coursework,Other,"> 10,000 employees",No (we do not use ML methods),"1,000-1,999",basic,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ",
22-24,Female,India,Masters,Student,,,,advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  TensorFlow , RandomForest, Xgboost , LightGBM "
25-29,Male,India,Bachelors,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost , LightGBM "
22-24,Male,United States of America,Masters,Student,,,,advance,< 1 years,,  TensorFlow 
25-29,Male,United States of America,Masters,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
18-21,Male,Russia,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , PyTorch "
18-21,Male,India,Bachelors,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),$0-999,basic,1-2 years, Matplotlib ,  TensorFlow 
22-24,Male,Brazil,Coursework,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,< 1 years,,
22-24,Male,Bangladesh,Bachelors,Student,,,,basic,< 1 years,,
45-49,Male,Other,Coursework,Other,,,,intermediate,,,
25-29,Male,Brazil,Bachelors,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras , Xgboost , PyTorch , LightGBM , Spark MLib "
25-29,Male,Argentina,Bachelors,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch "
45-49,Male,Belgium,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",basic,10-20 years," Matplotlib , Seaborn ",
55-59,Male,United States of America,Masters,Other,"1000-9,999 employees",I do not know,"150,000-199,999",basic,10-20 years, Ggplot / ggplot2 ,
22-24,Male,"Iran, Islamic Republic of...",Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
35-39,Male,United States of America,Masters,Data Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years," Matplotlib , Seaborn ",
40-44,Male,South Korea,Doctoral,Research Scientist,"1000-9,999 employees",,,intermediate,,,
18-21,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn , Keras , RandomForest, Xgboost , LightGBM "
50-54,Other,United States of America,Masters,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),,intermediate,,,
22-24,Male,United States of America,Bachelors,Student,,,,basic,1-2 years," Matplotlib , D3.js ","  Scikit-learn , Keras "
40-44,Male,United States of America,Bachelors,Other,,,,intermediate,,,
22-24,Male,Sweden,Masters,Student,,,,advance,1-2 years, Matplotlib ,  Scikit-learn 
18-21,Male,Ukraine,Coursework,Student,,,,advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost "
30-34,Male,India,Masters,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,,,
40-44,Male,United States of America,Masters,Student,,,,basic,< 1 years,,
35-39,Male,Belgium,Masters,Data Analyst,"1000-9,999 employees",,,intermediate,,,
25-29,Male,Nigeria,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,intermediate,,,
22-24,Male,Belarus,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost "
25-29,Male,"Iran, Islamic Republic of...",Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",,intermediate,,,
18-21,Female,United States of America,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ",  Scikit-learn 
40-44,Female,Germany,Masters,Software Engineer,250-999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",intermediate,< 1 years," Matplotlib , Altair , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow "
25-29,Male,United States of America,Masters,Data Analyst,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,1-2 years," Matplotlib , Shiny , Bokeh , Seaborn ","  Scikit-learn , RandomForest"
25-29,Other,Canada,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",intermediate,,,
25-29,Female,India,Bachelors,Data Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ",  Scikit-learn 
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost "
45-49,Male,South Korea,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,,,
45-49,Male,United States of America,Coursework,Other,"1000-9,999 employees",,,intermediate,,,
22-24,Female,Brazil,Masters,Student,,,,basic,< 1 years, Matplotlib ,  Scikit-learn 
22-24,Male,United States of America,Masters,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras "
60-69,Male,Belgium,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"10,000-14,999",intermediate,1-2 years, Ggplot / ggplot2 ,"  TensorFlow , PyTorch "
25-29,Other,France,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"2,000-2,999",advance,3-5 years," Matplotlib , Seaborn ","  TensorFlow , Keras "
25-29,Male,France,Masters,Data Scientist,"> 10,000 employees",No (we do not use ML methods),"1,000-1,999",advance,1-2 years," Plotly / Plotly Express , Seaborn "," Keras , RandomForest, LightGBM "
25-29,Male,United States of America,Bachelors,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"125,000-149,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express ","  Scikit-learn , RandomForest"
35-39,Male,Turkey,Bachelors,Software Engineer,50-249 employees,,,intermediate,,,
45-49,Male,United States of America,Masters,Data Engineer,50-249 employees,,,intermediate,,,
50-54,Male,Other,Bachelors,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"250,000-299,999",intermediate,,,
22-24,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors,Other,"> 10,000 employees",,,intermediate,,,
30-34,Female,Canada,Bachelors,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",basic,I have never written code,,
22-24,Male,Poland,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
22-24,Male,Romania,Masters,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras "
25-29,Female,Ireland,Coursework,Student,,,,intermediate,,,
18-21,Male,United States of America,Bachelors,Student,,,,intermediate,,,
40-44,Male,China,Masters,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",basic,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
30-34,Male,Ukraine,Coursework,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,1-2 years," Matplotlib , Seaborn ",  TensorFlow 
40-44,Male,France,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"70,000-79,999",basic,I have never written code,,
30-34,Male,Russia,Masters,Software Engineer,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
22-24,Male,Nigeria,Coursework,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,basic,< 1 years, Matplotlib ,
22-24,Male,India,Bachelors,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",basic,< 1 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
30-34,Male,United States of America,Masters,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)",,intermediate,,,
22-24,Male,Indonesia,Coursework,Data Engineer,250-999 employees,,,intermediate,,,
25-29,Male,Japan,Bachelors,Software Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),$0-999,intermediate,,,
25-29,Male,India,Coursework,Data Scientist,250-999 employees,,,intermediate,,,
30-34,Female,Spain,Bachelors,Student,,,,advance,< 1 years, Matplotlib ,
25-29,Male,United States of America,Doctoral,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years, Matplotlib ," Keras , LightGBM "
30-34,Female,United States of America,Bachelors,Student,,,,intermediate,,,
25-29,Male,United States of America,Masters,Data Scientist,"1000-9,999 employees",,,intermediate,,,
35-39,Male,United States of America,Bachelors,Data Analyst,,,,intermediate,,,
35-39,Male,South Korea,Coursework,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
30-34,Male,Morocco,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,< 1 years," Matplotlib , Seaborn ",
22-24,Male,Egypt,Bachelors,Student,,,,basic,< 1 years, Matplotlib ,  TensorFlow 
25-29,Male,Viet Nam,Bachelors,Data Engineer,50-249 employees,No (we do not use ML methods),"10,000-14,999",intermediate,,,
25-29,Male,Japan,Masters,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,1-2 years,,
70+,Other,Other,Coursework,Other,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,intermediate,10-20 years," Ggplot / ggplot2 , Matplotlib , Altair , Shiny , D3.js , Plotly / Plotly Express , Bokeh , Geoplotlib , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , Caret , LightGBM , Spark MLib "
30-34,Male,China,Bachelors,Software Engineer,50-249 employees,,,intermediate,,,
18-21,Male,Nigeria,Coursework,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",basic,< 1 years,,
45-49,Male,China,Doctoral,Other,,,,intermediate,,,
60-69,Male,United States of America,Masters,Software Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),,intermediate,,,
35-39,Male,United States of America,Bachelors,Software Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"300,000-500,000",intermediate,,,
60-69,Male,Japan,Doctoral,Data Scientist,"1000-9,999 employees",,,intermediate,,,
35-39,Male,Czech Republic,Masters,Research Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Altair , Seaborn ","  Scikit-learn , Xgboost , LightGBM "
25-29,Male,India,Masters,Student,,,,advance,< 1 years,,
35-39,Male,Japan,Doctoral,Research Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost , PyTorch , LightGBM "
25-29,Male,India,Bachelors,Business Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,3-5 years," Ggplot / ggplot2 , Shiny , Plotly / Plotly Express ", RandomForest
25-29,Male,United States of America,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"80,000-89,999",basic,1-2 years," Matplotlib , Seaborn ", PyTorch 
40-44,Male,Australia,Bachelors,Other,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",,intermediate,,,
30-34,Male,Russia,Masters,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , PyTorch , LightGBM "
18-21,Male,Other,Coursework,Student,,,,basic,< 1 years,,
18-21,Male,China,Bachelors,Student,,,,intermediate,,,
30-34,Female,Spain,Masters,Data Analyst,50-249 employees,No (we do not use ML methods),"1,000-1,999",advance,3-5 years,, RandomForest
50-54,Male,Canada,Bachelors,Product/Project Manager,0-49 employees,No (we do not use ML methods),"100,000-124,999",intermediate,,,
25-29,Male,Japan,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
35-39,Male,Chile,Coursework,Data Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , Xgboost "
25-29,Male,United States of America,Masters,Statistician,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years, Ggplot / ggplot2 ," RandomForest, Xgboost , Caret "
40-44,Female,Brazil,Masters,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years," Ggplot / ggplot2 , Matplotlib "," RandomForest, Caret "
22-24,Female,Nigeria,Masters,Research Scientist,50-249 employees,No (we do not use ML methods),$0-999,basic,1-2 years, Matplotlib , PyTorch 
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years, Plotly / Plotly Express ,"  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
30-34,Male,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",I do not know,"40,000-49,999",advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  TensorFlow , Keras "
22-24,Male,United States of America,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),,intermediate,,,
18-21,Male,India,Bachelors,Software Engineer,0-49 employees,,,intermediate,,,
40-44,Female,United States of America,Masters,Other,0-49 employees,No (we do not use ML methods),"30,000-39,999",advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest"
22-24,Male,India,Bachelors,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
30-34,Male,United States of America,Masters,DBA/Database Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,< 1 years,,
55-59,Male,France,Doctoral,Data Scientist,250-999 employees,I do not know,,intermediate,,,
45-49,Male,Japan,Doctoral,Data Scientist,0-49 employees,,,intermediate,,,
30-34,Male,Brazil,Coursework,Other,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",advance,3-5 years, Matplotlib ,"  Scikit-learn , Xgboost , LightGBM "
25-29,Male,United States of America,Masters,Student,,,,advance,3-5 years," Matplotlib , Seaborn ","  TensorFlow , Keras , PyTorch "
18-21,Male,China,Coursework,Other,50-249 employees,I do not know,"5,000-7,499",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
30-34,Male,China,Masters,Student,,,,basic,< 1 years," Matplotlib , Plotly / Plotly Express ",
60-69,Male,India,Masters,Business Analyst,0-49 employees,I do not know,"125,000-149,999",intermediate,,,
22-24,Male,China,Masters,Student,,,,basic,I have never written code,,
60-69,Female,United States of America,Doctoral,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",intermediate,,,
22-24,Male,Brazil,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",intermediate,1-2 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Xgboost , LightGBM "
30-34,Male,United States of America,Coursework,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years," Ggplot / ggplot2 , Shiny ",
22-24,Male,China,Masters,Student,,,,advance,1-2 years, Matplotlib ,"  TensorFlow , Keras , PyTorch "
50-54,Male,Argentina,Masters,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , Caret , Spark MLib "
25-29,Female,Canada,Masters,Software Engineer,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"90,000-99,999",intermediate,< 1 years, Matplotlib ,"  Scikit-learn , RandomForest, Xgboost "
45-49,Male,United States of America,Coursework,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",intermediate,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest"
22-24,Other,Indonesia,Coursework,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
22-24,Male,United States of America,Masters,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch , LightGBM "
